国家,新增确诊,确诊,治愈,死亡
美国,161568,13919870,8222879,274332
印度,31118,9462809,8889585,137621
巴西,21138,6335878,5597802,173120
俄罗斯,26126,2302062,1787962,40050
法国,4443,2275016,167913,52819
西班牙,6659,1664945,196958,45069
英国,12420,1633733,3570,58545
意大利,16376,1601554,757507,55576
阿根廷,5726,1424533,1257227,38730
哥伦比亚,8430,1316806,1210489,36766
墨西哥,6472,1113543,823586,105940
德国,7074,1070092,749219,16694
波兰,0,990811,577514,17150
秘鲁,0,962530,893061,35923
伊朗,0,962070,668151,48246
南非,2302,790004,731242,21535
乌克兰,12498,764841,370677,12962
土耳其,31219,638847,404727,13746
比利时,746,577345,33687,16645
伊拉克,0,552549,482674,12258
智利,1313,551743,526604,15410
印度尼西亚,0,538883,450518,16945
荷兰,26,531930,6947,9453
捷克,3575,523298,451607,8295
罗马尼亚,0,475362,353188,11331
孟加拉国,0,464932,380711,6644
菲律宾,0,431630,398658,8392
巴基斯坦,2458,400482,343286,8091
加拿大,7457,381557,304595,12147
沙特阿拉伯,0,357360,346802,5896
摩洛哥,2533,356336,305291,5846
以色列,1213,337373,323995,2865
瑞士,0,327072,250200,4815
葡萄牙,3262,298061,212942,4505
奥地利,0,282456,221692,3184
瑞典,0,243129,4917,6681
尼泊尔,0,233452,214521,1508
匈牙利,3951,221073,64802,4977
约旦,5123,219430,155026,2751
厄瓜多尔,568,192685,169804,13461
塞尔维亚,6224,175438,15913,1604
阿联酋,0,168860,154899,572
巴拿马,1077,165806,144462,3079
日本,807,149752,127289,2083
保加利亚,2814,145300,50565,4035
玻利维亚,86,144708,121702,8957
多米尼加,515,143988,115219,2331
科威特,0,142635,137071,880
哥斯达黎加,2545,139638,87526,1726
格鲁吉亚,3759,139343,117560,1303
卡塔尔,185,138833,136090,237
白俄罗斯,1639,136647,114341,1158
亚美尼亚,843,135967,110365,2193
哈萨克斯坦,689,132348,116863,1990
克罗地亚,0,128442,105199,1786
黎巴嫩,1000,127944,83034,1018
阿曼,0,123699,115216,1423
危地马拉,91,122062,110944,4171
阿塞拜疆,1959,121176,74902,1392
埃及,370,115911,102718,6650
埃塞俄比亚,540,110074,73808,1706
洪都拉斯,365,108253,48073,2918
摩尔多瓦,347,107364,95354,2304
斯洛伐克,0,105929,66041,839
希腊,1044,105271,23074,2406
委内瑞拉,354,102394,97326,897
突尼斯,518,96769,70851,3260
中国,112,93577,87586,4750
波多黎各,0,92100,42993,1094
缅甸,0,90713,70156,1941
波黑,0,87901,52769,2681
巴林,169,86956,85141,341
巴勒斯坦,0,85647,64987,732
肯尼亚,302,83618,55344,1469
阿尔及利亚,978,83199,53809,2431
利比亚,0,82809,53818,1183
巴拉圭,518,82424,58453,1756
丹麦,0,81002,64031,837
斯洛文尼亚,8,75814,54138,1435
吉尔吉斯斯坦,371,73178,64711,1275
乌兹别克斯坦,174,73094,70337,610
爱尔兰,303,72544,23364,2053
尼日利亚,145,67557,63282,1173
马来西亚,0,65697,54759,360
北马其顿,335,61878,38946,1763
立陶宛,0,61325,14211,506
新加坡,10,58228,58134,29
加纳,0,51667,50547,323
阿富汗,0,46498,36788,1774
萨尔瓦多,725,39130,35839,1120
阿尔巴尼亚,557,38182,18849,810
挪威,179,36150,17998,332
黑山,384,35265,24131,499
卢森堡,1269,34678,26086,321
韩国,451,34652,27885,526
澳大利亚,8,27912,25602,908
芬兰,0,24912,16800,399
喀麦隆,328,24445,22177,437
斯里兰卡,325,23987,17560,118
科特迪瓦,21,21331,20964,132
乌干达,314,20459,8989,205
库拉索岛,0,18762,0,408
苏丹,406,17810,10302,1249
赞比亚共和国,0,17589,16925,357
马达加斯加,0,17341,16657,251
拉脱维亚,0,17075,1795,206
塞内加尔,0,16089,15607,333
莫桑比克,88,15701,13729,131
安哥拉,36,15139,7851,348
纳米比亚,35,14380,13535,151
几内亚,22,13119,12045,76
马尔代夫,17,13011,11939,46
刚果（金）,70,12772,11585,333
爱沙尼亚,0,12308,7078,118
塔吉克斯坦,39,12194,11599,86
牙买加,54,10763,6219,257
佛得角,14,10761,10329,105
博茨瓦纳,484,10742,7912,34
塞浦路斯,182,10565,2057,49
津巴布韦,84,10034,8489,277
马耳他,0,9873,7665,137
法属圭亚那,0,9692,9341,65
海地,22,9294,8023,233
加蓬,23,9214,9066,60
毛里塔尼亚,54,8601,7732,177
瓜德罗普岛,0,8344,0,149
古巴,51,8284,7631,135
留尼旺,0,7940,0,40
叙利亚,90,7887,3560,417
巴哈马,24,7541,5889,163
关岛,0,6782,5521,112
安道尔,33,6745,5873,76
特立尼达和多巴哥,9,6669,5771,120
斯威士兰,9,6419,6006,122
马拉维,3,6028,5455,185
卢旺达,15,5934,5516,49
乌拉圭,141,5857,4357,77
伯利兹,111,5854,3151,148
尼加拉瓜,0,5784,4225,160
刚果（布）,0,5774,4988,94
吉布提,0,5679,5584,61
马提尼克,0,5413,0,40
圭亚那,30,5406,4392,151
冰岛,0,5392,5179,26
苏里南,0,5312,5194,117
马约特,0,5181,0,49
赤道几内亚,0,5153,5009,85
中非共和国,0,4913,1924,63
阿鲁巴,0,4791,4640,45
马里,22,4710,3206,156
索马里,0,4451,3417,113
泰国,10,4008,3811,60
冈比亚,8,3742,3601,123
南苏丹,0,3109,2954,61
贝宁,0,3015,2839,43
多哥,12,2974,2478,64
布基纳法索,30,2886,2593,68
几内亚比绍,19,2441,2327,44
塞拉利昂,1,2412,1836,74
莱索托,0,2109,1278,44
也门共和国,0,2078,350,605
新西兰,3,2059,1962,25
乍得,6,1688,1525,101
圣马力诺,0,1612,1299,46
利比里亚,0,1595,1343,83
尼日尔,32,1548,1210,72
美属维尔京群岛,0,1538,1453,23
越南,1,1347,1179,35
列支敦士登,0,1273,1024,15
荷属圣马丁,0,1066,947,25
圣多美和普林西比,2,991,933,17
泽西岛,0,928,705,32
蒙古,10,801,358,0
法属波利尼西亚,0,773,528,0
圣马丁岛,0,690,0,12
布隆迪共和国,0,681,4,1
特克斯和凯科斯群岛,0,668,572,5
巴布亚新几内亚,10,656,597,7
科摩罗,0,611,586,7
摩纳哥,1,609,556,3
厄立特里亚,0,577,498,0
坦桑尼亚,0,509,183,21
毛里求斯,3,504,456,10
不丹,14,410,381,0
马恩岛,0,369,324,25
柬埔寨,3,326,304,0
直布罗陀,0,315,273,0
