国家,新增确诊,确诊,治愈,死亡
美国,220298,16549366,9644325,305082
印度,30254,9857029,9357464,143019
巴西,43900,6880127,6078287,181123
俄罗斯,0,2602048,2066710,45923
法国,13947,2405255,181581,57671
英国,21552,1835949,3805,64123
意大利,19902,1825775,1076891,64036
西班牙,7053,1741439,196958,47624
阿根廷,5274,1494602,1330160,40668
哥伦比亚,8163,1417072,1310425,38866
德国,21792,1336101,975931,21900
墨西哥,12057,1241436,911965,113704
波兰,0,1126700,840541,22676
伊朗,0,1100818,800853,51949
秘鲁,0,980943,916335,36544
土耳其,32106,955766,452593,15751
乌克兰,0,908839,513249,15528
南非,7882,852965,760118,23106
荷兰,95,613630,7838,10104
印度尼西亚,0,611631,501376,18653
比利时,2807,605966,0,17902
捷克,0,575422,503017,9450
伊拉克,0,573622,505669,12565
智利,0,569781,543086,15846
罗马尼亚,0,551900,451477,13264
孟加拉国,0,489178,417503,7020
加拿大,5984,458527,373898,13367
菲律宾,0,448331,409433,8730
巴基斯坦,3369,438425,383000,8796
摩洛哥,3033,397597,353098,6589
瑞士,0,373831,291500,5976
沙特阿拉伯,0,359749,350347,6036
以色列,2746,356015,335693,2983
葡萄牙,4413,344700,268453,5461
瑞典,0,320098,4917,7514
奥地利,0,319822,277883,4415
匈牙利,0,276247,79769,6784
塞尔维亚,5679,261437,15913,2275
约旦,1816,257275,213344,3335
尼泊尔,0,247593,234231,1689
厄瓜多尔,759,201524,174188,13874
巴拿马,2806,190585,160641,3331
格鲁吉亚,0,187006,154241,1744
哈萨克斯坦,956,185513,156848,2552
阿联酋,0,183755,163048,609
保加利亚,1287,178952,81757,5626
日本,65,178272,147368,2462
克罗地亚,0,172523,144691,2562
阿塞拜疆,0,171423,107635,1883
白俄罗斯,0,158334,135922,1254
多米尼加,1133,153585,119616,2360
哥斯达黎加,0,150947,112622,1895
亚美尼亚,0,147312,124521,2462
玻利维亚,333,147030,126092,9014
科威特,255,146044,141825,911
黎巴嫩,1540,145245,98584,1190
卡塔尔,0,140827,138347,240
斯洛伐克,3707,130794,95416,1148
危地马拉,558,129099,117615,4405
摩尔多瓦,1459,125723,107733,2547
阿曼,0,125669,117327,1463
希腊,1194,123842,23074,3540
埃及,478,121089,104710,6898
埃塞俄比亚,515,116297,92449,1803
洪都拉斯,335,114043,51410,2974
突尼斯,1289,110393,84218,3836
巴勒斯坦,0,108099,83123,961
丹麦,3552,107660,78760,935
缅甸,0,107215,85406,2245
委内瑞拉,462,107177,102289,949
波多黎各,0,104125,45565,1238
波黑,763,100306,65289,3298
斯洛文尼亚,0,95481,72290,2041
中国,101,94950,88546,4756
巴拉圭,800,92913,65852,1937
阿尔及利亚,517,91638,60028,2584
肯尼亚,548,91526,72596,1586
立陶宛,0,90252,38768,791
利比亚,0,89880,59839,1278
巴林,145,88965,87025,348
马来西亚,0,82246,68084,411
吉尔吉斯斯坦,0,77059,69794,1307
爱尔兰,249,75756,23364,2123
乌兹别克斯坦,145,74956,72243,612
北马其顿,981,73025,48726,2096
尼日利亚,617,72757,65850,1194
新加坡,0,58313,58197,29
加纳,195,52933,51676,327
阿富汗,0,48229,38200,1956
阿尔巴尼亚,879,47742,24520,989
韩国,1030,42766,31814,580
萨尔瓦多,231,41394,37667,1193
黑山,402,40948,29614,578
挪威,364,40803,17998,387
卢森堡,0,40755,31678,392
斯里兰卡,128,32135,23304,149
芬兰,0,30450,20000,453
澳大利亚,5,28030,25675,908
乌干达,702,27071,9744,220
喀麦隆,56,25143,23851,443
拉脱维亚,0,25046,1866,324
科特迪瓦,21,21639,21261,133
苏丹,303,21147,12227,1344
库拉索岛,0,18762,0,408
赞比亚共和国,56,18217,17339,366
爱沙尼亚,0,17713,10626,148
马达加斯加,0,17587,16992,259
塞内加尔,0,17061,16059,349
莫桑比克,132,16812,14795,140
纳米比亚,0,16269,14582,160
安哥拉,100,16161,8841,366
塞浦路斯,827,14476,2057,75
刚果（金）,0,14342,12465,352
几内亚,22,13420,12657,79
马尔代夫,22,13348,12659,48
塔吉克斯坦,0,12624,12050,89
博茨瓦纳,0,12501,9940,37
牙买加,99,11608,7799,271
佛得角,40,11302,10922,110
津巴布韦,57,11219,9359,307
马耳他,0,11101,9079,166
毛里塔尼亚,279,10780,8022,222
法属圭亚那,0,9692,9341,65
海地,26,9491,8241,233
古巴,87,9354,8371,137
加蓬,0,9330,9182,63
乌拉圭,331,9180,6155,91
伯利兹,208,9173,4279,192
叙利亚,130,9041,4319,506
瓜德罗普岛,0,8451,0,152
留尼旺,0,8345,0,41
巴哈马,25,7648,6043,163
安道尔,52,7288,6629,78
关岛,27,6942,5846,115
特立尼达和多巴哥,12,6864,6126,122
斯威士兰,29,6714,6331,127
卢旺达,100,6528,5892,56
马拉维,8,6063,5491,186
刚果（布）,0,6049,4988,99
尼加拉瓜,0,5887,4225,162
圭亚那,40,5879,5044,154
吉布提,0,5725,5612,61
马里,72,5721,3566,189
马提尼克,0,5553,0,41
冰岛,0,5552,5346,28
马约特,52,5551,0,52
苏里南,1,5340,5221,117
赤道几内亚,0,5185,5058,85
