国家,新增确诊,确诊,治愈,死亡
刚果（金）,155,13750,12059,344
塞浦路斯,419,13286,2057,68
几内亚,0,13264,12465,79
马尔代夫,35,13248,12487,47
塔吉克斯坦,42,12511,11926,88
博茨瓦纳,0,12058,9400,36
牙买加,87,11271,7292,265
佛得角,20,11118,10712,109
津巴布韦,73,10912,9062,303
马耳他,40,10699,8641,157
毛里塔尼亚,197,9876,7904,197
法属圭亚那,0,9692,9341,65
海地,0,9399,8148,233
加蓬,0,9278,9132,60
古巴,76,8982,8047,136
叙利亚,90,8580,4059,458
瓜德罗普岛,24,8451,0,149
留尼旺,94,8294,0,41
伯利兹,60,8013,4012,179
乌拉圭,301,7806,5415,86
巴哈马,0,7579,6003,163
安道尔,43,7127,6367,78
关岛,0,6889,5846,113
特立尼达和多巴哥,7,6782,5996,122
斯威士兰,34,6563,6137,124
卢旺达,46,6237,5715,51
马拉维,0,6051,5482,186
尼加拉瓜,49,5887,4225,162
刚果（布）,0,5774,4988,94
吉布提,6,5714,5597,61
圭亚那,3,5700,4870,154
马提尼克,33,5553,0,41
冰岛,10,5506,5292,28
马里,152,5442,3416,180
苏里南,1,5326,5217,117
马约特,0,5181,0,49
赤道几内亚,0,5166,5036,85
中非共和国,5,4927,1924,63
阿鲁巴,0,4791,4640,45
索马里,0,4579,3529,121
泰国,25,4151,3880,60
冈比亚,4,3776,3631,123
布基纳法索,154,3469,2742,69
南苏丹,0,3181,3003,62
多哥,21,3132,2691,65
贝宁,0,3073,2922,44
几内亚比绍,0,2444,2337,44
塞拉利昂,0,2428,1847,74
莱索托,5,2150,1278,44
新西兰,3,2088,2008,25
也门共和国,0,2082,350,607
尼日尔,93,1987,1239,79
圣马力诺,0,1800,1438,48
乍得,1,1729,1573,102
美属维尔京群岛,31,1680,1523,23
利比里亚,0,1676,1358,83
泽西岛,72,1460,857,32
列支敦士登,34,1431,1235,19
越南,10,1377,1224,35
荷属圣马丁,0,1155,1030,26
圣多美和普林西比,3,1005,944,17
蒙古,5,893,384,0
圣马丁岛,94,838,0,12
法属波利尼西亚,0,773,528,0
布隆迪共和国,18,716,4,1
巴布亚新几内亚,13,684,601,7
特克斯和凯科斯群岛,0,668,572,5
厄立特里亚,0,649,517,0
摩纳哥,7,648,580,3
科摩罗,1,617,605,7
毛里求斯,4,515,478,10
坦桑尼亚,0,509,183,21
不丹,1,433,393,0
马恩岛,0,370,324,25
柬埔寨,4,354,307,0
直布罗陀,0,315,273,0
百慕大,18,306,216,9
开曼群岛,0,290,262,2
巴巴多斯,2,289,263,7
根西岛,0,288,273,13
圣卢西亚,0,270,169,2
塞舌尔,0,184,168,0
法罗群岛,0,184,157,0
荷兰加勒比地区,5,169,0,3
圣巴泰勒米岛,12,164,0,0
文莱,1,152,147,3
安提瓜和巴布达,0,146,134,4
北马里亚纳群岛联邦,2,111,0,2
圣文森特和格林纳丁斯,0,87,80,0
多米尼克,0,85,72,0
英属维尔京群岛,0,73,70,1
斐济,0,44,35,2
格林那达,0,43,30,0
老挝,0,41,28,0
东帝汶,0,31,30,0
梵蒂冈,0,27,15,0
新喀里多尼亚,0,26,23,0
圣其茨和尼维斯,0,25,21,0
福克兰群岛,0,17,15,0
圣皮埃尔和密克隆群岛,0,16,12,0
蒙特塞拉特,0,13,12,1
格陵兰,0,11,11,0
安圭拉,0,3,3,0
