国家,新增确诊,确诊,治愈,死亡
美国,187901,16737267,9724439,306459
印度,27071,9884100,9388159,143355
巴西,21825,6901952,6138349,181402
俄罗斯,26902,2656601,2105414,46846
法国,25357,2430612,182688,58015
英国,18538,1854490,4013,64267
意大利,17937,1843712,1093161,64520
土耳其,26919,1836728,1603780,16417
西班牙,7053,1741439,196958,47624
阿根廷,3558,1498160,1335317,40766
哥伦比亚,8702,1425774,1314836,39053
德国,14709,1350810,990707,22103
墨西哥,8608,1250044,918681,113953
波兰,4896,1140572,869155,22960
伊朗,7501,1115770,823231,52447
秘鲁,4030,984973,918352,36677
乌克兰,6877,925321,526101,15792
南非,7999,860964,761011,23276
荷兰,8510,632024,7872,10168
印度尼西亚,5489,623309,510957,18956
比利时,2171,608137,33687,17951
捷克,2000,581079,505922,9609
伊拉克,1338,575972,509474,12603
智利,2138,571919,544832,15886
罗马尼亚,3252,559587,460780,13494
孟加拉国,1799,492332,423845,7089
加拿大,5916,464443,378653,13451
菲律宾,1333,450733,418723,8757
巴基斯坦,2362,440787,384719,8832
摩洛哥,2012,399609,356023,6624
瑞士,10726,384557,308300,6079
沙特阿拉伯,125,360013,350792,6059
以色列,2043,358293,337599,3003
葡萄牙,4044,348744,271322,5559
奥地利,2588,325051,284174,4530
瑞典,0,320098,4917,7514
匈牙利,3470,283870,82546,7130
塞尔维亚,4932,271364,0,2380
约旦,2339,259614,218467,3365
尼泊尔,821,249244,236573,1716
厄瓜多尔,586,202110,177951,13875
巴拿马,2422,193007,162105,3356
格鲁吉亚,1337,191063,161681,1839
哈萨克斯坦,764,186277,157701,2552
阿联酋,2286,186041,164349,618
日本,1679,182278,150791,2528
保加利亚,497,179449,83720,5688
克罗地亚,1472,177358,151884,2705
阿塞拜疆,0,175874,114841,1966
白俄罗斯,1853,162148,139785,1273
多米尼加,1107,154692,120481,2361
哥斯达黎加,0,150947,112622,1895
亚美尼亚,357,148682,125966,2503
玻利维亚,120,147150,126221,9018
黎巴嫩,1275,146520,101334,1200
科威特,231,146449,142357,912
卡塔尔,0,140961,138490,240
斯洛伐克,505,133489,98585,1205
危地马拉,183,129282,117923,4423
摩尔多瓦,795,126518,108901,2572
阿曼,264,126504,118287,1472
