国家,新增确诊,确诊,治愈,死亡
乌兹别克斯坦,161,73592,70861,611
爱尔兰,162,73228,23364,2080
马来西亚,1141,70236,59061,376
立陶宛,7067,69582,27760,590
尼日利亚,343,68303,64291,1179
北马其顿,1341,65231,41656,1847
新加坡,3,58242,58145,29
加纳,0,51667,50547,323
阿富汗,119,46837,37260,1846
阿尔巴尼亚,782,40501,20484,852
萨尔瓦多,588,39718,36286,1142
挪威,235,37371,17998,354
黑山,581,36932,25866,516
卢森堡,627,36429,27356,339
韩国,629,36332,28611,536
澳大利亚,10,27949,25630,908
芬兰,336,26758,18100,408
斯里兰卡,278,26038,19438,129
喀麦隆,0,24487,22177,441
乌干达,203,21612,9110,206
科特迪瓦,28,21389,21022,132
拉脱维亚,686,19993,1849,242
库拉索岛,0,18762,0,408
苏丹,281,18535,10672,1271
赞比亚共和国,35,17700,17059,357
马达加斯加,172,17513,16657,255
塞内加尔,80,16297,15707,336
莫桑比克,52,15918,14030,132
安哥拉,42,15361,8244,352
纳米比亚,122,14599,13774,151
爱沙尼亚,470,13939,8549,125
几内亚,19,13186,12270,76
刚果（金）,145,13132,11753,337
马尔代夫,36,13106,12154,47
塔吉克斯坦,39,12308,11718,87
博茨瓦纳,789,11531,8978,34
塞浦路斯,348,11523,2057,54
佛得角,71,10938,10454,107
牙买加,47,10911,6614,259
津巴布韦,295,10424,8754,280
马耳他,123,10320,8120,149
法属圭亚那,0,9692,9341,65
海地,18,9331,8114,233
加蓬,0,9239,9089,60
毛里塔尼亚,142,9005,7785,181
古巴,75,8531,7770,136
瓜德罗普岛,49,8427,0,149
叙利亚,88,8147,3748,432
留尼旺,0,8102,0,40
巴哈马,6,7549,5934,163
伯利兹,1382,7236,3571,164
安道尔,62,6904,6066,77
关岛,0,6889,5846,112
特立尼达和多巴哥,21,6725,5861,121
斯威士兰,19,6474,6044,122
乌拉圭,230,6455,4707,80
马拉维,3,6043,5472,185
卢旺达,17,6011,5596,50
尼加拉瓜,0,5838,4225,161
刚果（布）,0,5774,4988,94
吉布提,7,5689,5591,61
圭亚那,79,5528,4618,151
马提尼克,34,5520,0,41
冰岛,14,5462,5223,27
苏里南,2,5322,5203,117
马约特,0,5181,0,49
赤道几内亚,3,5159,5023,85
中非共和国,0,4918,1924,63
马里,43,4880,3281,162
阿鲁巴,0,4791,4640,45
索马里,0,4525,3480,121
泰国,14,4053,3839,60
冈比亚,2,3767,3610,123
南苏丹,36,3154,2977,62
布基纳法索,52,3062,2679,68
贝宁,0,3055,2907,44
多哥,25,3039,2567,65
几内亚比绍,0,2441,2327,44
塞拉利昂,0,2416,1840,74
莱索托,36,2145,1278,44
也门共和国,0,2081,350,606
新西兰,0,2069,1983,25
圣马力诺,0,1714,1356,46
乍得,3,1708,1539,102
利比里亚,68,1663,1358,83
尼日尔,0,1640,1227,76
美属维尔京群岛,13,1563,1453,23
越南,0,1361,1220,35
列支敦士登,0,1344,1169,17
泽西岛,102,1110,756,32
荷属圣马丁,13,1105,993,25
圣多美和普林西比,0,997,937,17
蒙古,12,831,365,0
法属波利尼西亚,0,773,528,0
圣马丁岛,0,744,0,12
布隆迪共和国,3,692,4,1
巴布亚新几内亚,2,671,597,7
特克斯和凯科斯群岛,0,668,572,5
摩纳哥,9,630,570,3
科摩罗,2,615,590,7
厄立特里亚,17,594,498,0
坦桑尼亚,0,509,183,21
毛里求斯,0,508,465,10
不丹,3,418,386,0
马恩岛,0,369,324,25
柬埔寨,4,335,304,0
直布罗陀,0,315,273,0
根西岛,1,288,271,13
开曼群岛,3,285,236,2
巴巴多斯,2,281,257,7
百慕大,7,267,182,9
圣卢西亚,1,262,141,2
塞舌尔,1,184,168,0
法罗群岛,0,184,157,0
荷兰加勒比地区,1,163,0,3
圣巴泰勒米岛,0,152,0,0
文莱,0,151,146,3
安提瓜和巴布达,0,144,133,4
北马里亚纳群岛联邦,0,106,0,2
圣文森特和格林纳丁斯,2,87,80,0
多米尼克,0,85,63,0
英属维尔京群岛,0,73,70,1
斐济,2,44,33,2
格林那达,0,41,30,0
老挝,0,39,26,0
东帝汶,0,31,30,0
梵蒂冈,0,27,15,0
新喀里多尼亚,0,26,23,0
圣其茨和尼维斯,0,22,19,0
福克兰群岛,0,17,13,0
圣皮埃尔和密克隆群岛,0,16,12,0
蒙特塞拉特,0,13,12,1
格陵兰,0,11,11,0
安圭拉,0,3,3,0
