国家,新增确诊,确诊,治愈,死亡
美国,204311,14741574,8641792,285310
印度,36652,9608211,9058822,139700
巴西,46884,6533968,5825745,175964
俄罗斯,28450,2410462,1899474,42228
法国,11432,2321703,173986,54859
西班牙,5554,1699145,196958,46252
英国,16373,1694796,3632,60714
意大利,24110,1688939,872385,58852
阿根廷,6899,1454631,1281955,39512
哥伦比亚,9285,1352607,1240990,37467
德国,11869,1157514,827042,18340
墨西哥,12127,1156770,852719,108863
波兰,12427,1054273,687910,19861
伊朗,12151,1028986,719708,50016
秘鲁,3785,970860,903958,36195
乌克兰,14157,822985,429455,13877
南非,4932,805804,740450,21963
土耳其,32736,765997,423142,14509
比利时,2582,587439,33687,17142
印度尼西亚,6027,569707,470449,17589
伊拉克,1898,562520,491657,12411
荷兰,6705,559561,7203,9743
智利,0,557135,533250,15592
捷克,2431,540094,468812,8718
罗马尼亚,8072,508345,399207,12186
孟加拉国,1798,475789,393408,6807
菲律宾,0,436345,399345,8509
巴基斯坦,0,410072,350305,8260
加拿大,5247,405476,322700,12508
摩洛哥,3996,372620,323814,6136
沙特阿拉伯,0,358336,348238,5940
瑞士,0,344497,260600,5292
以色列,341,342101,327162,2896
葡萄牙,4935,312553,234038,4803
奥地利,0,297245,243775,3651
瑞典,6269,278912,4917,7067
尼泊尔,0,238861,221847,1567
匈牙利,0,238056,68525,5513
约旦,3116,234353,177195,2960
塞尔维亚,7782,206940,15913,1834
厄瓜多尔,598,196482,169804,13696
哈萨克斯坦,0,177386,149435,2482
阿联酋,0,174062,157828,586
巴拿马,0,171219,148396,3141
保加利亚,3614,158807,59677,4650
日本,0,158387,131020,2210
格鲁吉亚,0,152704,126904,1425
多米尼加,671,146680,116169,2343
玻利维亚,0,145186,124015,8982
科威特,343,143917,139148,886
哥斯达黎加,1180,143685,95789,1773
白俄罗斯,0,143383,120571,1190
克罗地亚,0,143370,117148,2032
亚美尼亚,0,139692,114990,2277
卡塔尔,0,139643,136872,239
阿塞拜疆,0,138000,83800,1551
黎巴嫩,1478,134295,86019,1078
危地马拉,752,124805,113273,4224
阿曼,0,124329,115866,1435
埃及,427,117583,103191,6732
摩尔多瓦,1522,113829,98276,2384
斯洛伐克,0,113392,77142,957
希腊,1648,113185,23074,2804
埃塞俄比亚,512,112091,78619,1734
洪都拉斯,0,109760,48953,2938
委内瑞拉,0,103548,98521,909
突尼斯,2620,101900,75464,3481
缅甸,1502,96520,74973,2059
波多黎各,0,95707,45565,1155
巴勒斯坦,0,94676,70206,797
中国,0,94038,87777,4753
波黑,0,92793,57545,2865
巴林,168,87600,85710,341
丹麦,0,87266,69150,867
肯尼亚,866,87249,68110,1506
阿尔及利亚,803,86730,56079,2492
巴拉圭,1022,86499,60644,1813
利比亚,0,85529,56048,1219
斯洛文尼亚,1784,83133,60957,1653
吉尔吉斯斯坦,0,74373,66113,1285
乌兹别克斯坦,0,73592,70861,611
爱尔兰,263,73491,23364,2086
马来西亚,0,70236,59061,376
立陶宛,0,69582,27760,590
尼日利亚,324,68627,64467,1179
北马其顿,1099,66330,42241,1877
新加坡,0,58242,58152,29
加纳,429,52096,50924,325
阿富汗,0,46837,37260,1846
阿尔巴尼亚,801,41302,20974,870
萨尔瓦多,0,39718,36286,1142
黑山,535,37467,26414,522
挪威,0,37371,17998,354
卢森堡,588,37017,28029,345
韩国,0,36332,28611,536
澳大利亚,0,27949,25630,908
芬兰,0,26758,18100,408
斯里兰卡,521,26559,19438,129
喀麦隆,73,24560,23344,441
乌干达,286,21898,9117,206
科特迪瓦,23,21412,21054,132
拉脱维亚,0,19993,1849,242
库拉索岛,0,18762,0,408
苏丹,0,18535,10672,1271
赞比亚共和国,0,17700,17059,357
马达加斯加,0,17513,16657,255
塞内加尔,0,16297,15707,336
莫桑比克,120,16038,14160,133
