国家,新增确诊,确诊,治愈,死亡
黎巴嫩,1778,142187,95737,1170
卡塔尔,0,140516,138033,240
危地马拉,659,127786,116442,4345
斯洛伐克,2166,127087,93533,1122
阿曼,0,125669,117327,1463
摩尔多瓦,1715,122685,105238,2500
希腊,1533,121253,23074,3370
埃及,445,120147,104281,6854
埃塞俄比亚,526,115360,88975,1779
洪都拉斯,415,113207,50948,2968
突尼斯,958,107814,82193,3758
委内瑞拉,428,106280,101384,938
巴勒斯坦,0,104879,78715,910
缅甸,0,104487,82813,2201
波多黎各,8418,104125,45565,1238
丹麦,0,101027,76185,918
波黑,1286,98603,62592,3199
中国,131,94749,88298,4755
斯洛文尼亚,0,91922,69170,1949
巴拉圭,812,90958,64527,1914
阿尔及利亚,565,90579,59135,2564
肯尼亚,644,90305,71254,1568
利比亚,0,89183,59222,1273
巴林,137,88632,86684,347
立陶宛,3066,86949,36168,764
马来西亚,0,78499,66236,396
吉尔吉斯斯坦,327,76718,69341,1307
爱尔兰,303,75203,23364,2117
乌兹别克斯坦,166,74664,71921,611
尼日利亚,675,71344,65474,1190
北马其顿,929,70883,47364,2051
新加坡,8,58305,58188,29
加纳,0,52738,51518,326
阿富汗,63,48116,38141,1945
阿尔巴尼亚,873,46061,23609,965
韩国,688,40786,31157,572
萨尔瓦多,0,40741,37172,1186
黑山,558,40165,29054,566
卢森堡,1561,40037,30898,384
挪威,255,40023,17998,382
斯里兰卡,238,30613,22261,146
芬兰,0,29572,20000,442
澳大利亚,11,28011,25665,908
乌干达,671,25730,9605,220
喀麦隆,0,24963,23344,443
拉脱维亚,0,23706,1866,304
科特迪瓦,43,21590,21203,133
苏丹,0,20468,11673,1319
库拉索岛,0,18762,0,408
赞比亚共和国,29,18091,17307,364
马达加斯加,0,17473,16927,255
爱沙尼亚,358,16956,10533,142
塞内加尔,0,16766,15950,343
莫桑比克,81,16521,14715,139
安哥拉,121,15925,8679,362
纳米比亚,0,15773,14218,158
刚果（金）,1,13997,12208,350
塞浦路斯,363,13649,2057,70
几内亚,43,13368,12598,79
马尔代夫,34,13308,12621,47
塔吉克斯坦,0,12588,12009,88
博茨瓦纳,443,12501,9940,37
牙买加,74,11443,7522,270
佛得角,11,11203,10836,109
津巴布韦,74,11081,9253,305
马耳他,0,10884,8848,164
毛里塔尼亚,163,10268,7957,210
法属圭亚那,0,9692,9341,65
海地,0,9434,8170,233
加蓬,0,9300,9155,62
古巴,75,9181,8212,136
伯利兹,286,8805,4141,183
叙利亚,112,8787,4174,476
乌拉圭,383,8487,5747,90
瓜德罗普岛,0,8451,0,152
留尼旺,0,8294,0,41
巴哈马,0,7585,6032,163
安道尔,28,7190,6505,78
关岛,12,6902,5846,113
特立尼达和多巴哥,25,6833,6060,122
斯威士兰,21,6633,6221,126
卢旺达,71,6349,5789,53
马拉维,2,6053,5489,186
刚果（布）,0,6049,4988,99
尼加拉瓜,0,5887,4225,162
圭亚那,79,5811,4925,154
吉布提,0,5717,5605,61
马里,107,5576,3502,184
马提尼克,0,5553,0,41
冰岛,0,5524,5313,28
苏里南,4,5337,5218,117
赤道几内亚,0,5183,5048,85
马约特,0,5181,0,49
中非共和国,0,4927,1924,63
阿鲁巴,0,4791,4640,45
索马里,0,4579,3529,121
泰国,11,4180,3903,60
冈比亚,3,3779,3645,123
布基纳法索,110,3579,2792,69
多哥,31,3182,2714,66
南苏丹,0,3181,3003,62
贝宁,0,3090,2972,44
几内亚比绍,0,2444,2337,44
塞拉利昂,1,2435,1847,74
莱索托,33,2178,1302,44
尼日尔,48,2126,1249,80
新西兰,4,2092,2010,25
也门共和国,0,2083,350,607
圣马力诺,34,1868,1524,49
乍得,7,1739,1587,102
美属维尔京群岛,35,1733,1544,23
利比里亚,0,1676,1358,83
泽西岛,58,1555,901,32
列支敦士登,0,1447,1282,19
越南,0,1385,1225,35
荷属圣马丁,16,1201,1058,26
圣多美和普林西比,4,1009,946,17
蒙古,7,905,384,0
圣马丁岛,0,838,0,12
法属波利尼西亚,0,773,528,0
布隆迪共和国,0,720,4,1
巴布亚新几内亚,0,684,601,7
特克斯和凯科斯群岛,0,668,572,5
摩纳哥,2,657,591,3
厄立特里亚,7,656,525,0
科摩罗,2,617,605,7
毛里求斯,0,515,478,10
坦桑尼亚,0,509,183,21
不丹,1,434,395,0
马恩岛,0,370,324,25
柬埔寨,1,357,307,0
百慕大,10,340,228,9
直布罗陀,0,315,273,0
开曼群岛,7,298,267,2
巴巴多斯,1,291,269,7
根西岛,0,289,273,13
圣卢西亚,0,270,169,2
塞舌尔,0,184,168,0
法罗群岛,0,184,157,0
荷兰加勒比地区,0,169,0,3
圣巴泰勒米岛,0,164,0,0
文莱,0,152,147,3
安提瓜和巴布达,0,146,138,4
北马里亚纳群岛联邦,0,113,0,2
圣文森特和格林纳丁斯,3,94,81,0
多米尼克,0,85,76,0
英属维尔京群岛,2,75,70,1
斐济,0,44,35,2
格林那达,0,43,30,0
老挝,0,41,33,0
东帝汶,0,31,30,0
梵蒂冈,0,27,15,0
新喀里多尼亚,0,26,23,0
圣其茨和尼维斯,0,25,21,0
福克兰群岛,0,17,15,0
圣皮埃尔和密克隆群岛,0,16,12,0
蒙特塞拉特,0,13,12,1
格陵兰,0,11,11,0
安圭拉,0,3,3,0
