国家,新增确诊,确诊,治愈,死亡
美国,198647,16942822,9871663,308089
印度,22065,9906165,9422636,143709
巴西,25193,6927145,6158049,181835
俄罗斯,0,2656601,2105414,46846
法国,3247,2433859,183340,58391
英国,20377,1874867,4048,64500
土耳其,29617,1866345,1631944,16646
意大利,12025,1855737,1115617,65011
西班牙,7967,1762036,196958,48013
阿根廷,5062,1503222,1340120,41041
哥伦比亚,8742,1434516,1321469,39195
德国,6451,1357261,1012077,22634
墨西哥,5930,1255974,927754,114298
波兰,0,1140572,869155,22960
伊朗,0,1115770,823231,52447
秘鲁,0,984973,918352,36677
乌克兰,8416,933737,542251,16025
南非,5163,866127,762746,23451
荷兰,61,632085,7944,10168
印度尼西亚,0,623309,510957,18956
比利时,1074,609211,33687,18054
捷克,5172,586251,511798,9743
伊拉克,0,575972,509474,12603
智利,1911,573830,546538,15931
罗马尼亚,0,559587,460780,13494
孟加拉国,0,492332,423845,7089
加拿大,7617,472820,385021,13570
菲律宾,0,450733,418723,8757
巴基斯坦,2459,443246,386333,8905
摩洛哥,1217,400826,359065,6659
瑞士,0,384557,308300,6154
以色列,2004,360297,338642,3004
沙特阿拉伯,0,360013,350792,6059
葡萄牙,2194,350938,274277,5649
奥地利,0,325051,284174,4530
瑞典,0,320098,4917,7514
匈牙利,0,283870,82546,7130
塞尔维亚,4932,271364,15913,2380
约旦,2863,262477,222654,3407
尼泊尔,0,249244,236573,1716
厄瓜多尔,70,202180,177951,13875
格鲁吉亚,3837,194900,164786,1883
巴拿马,1612,194619,163334,3382
哈萨克斯坦,683,186960,158705,2554
阿联酋,0,186041,164349,618
日本,663,182941,150791,2544
保加利亚,2095,181544,85578,5838
阿塞拜疆,3112,178986,114841,1966
克罗地亚,0,177358,151884,2705
白俄罗斯,0,162148,139785,1273
多米尼加,492,155184,121007,2364
哥斯达黎加,2222,153169,118511,1936
亚美尼亚,438,149120,127452,2529
黎巴嫩,1093,147613,103057,1210
玻利维亚,195,147345,126439,9024
科威特,0,146449,142357,912
卡塔尔,160,141121,138719,241
斯洛伐克,0,133489,98585,1205
危地马拉,123,129405,118217,4445
摩尔多瓦,735,127253,110179,2598
阿曼,0,126504,118287,1472
希腊,639,125173,23074,3687
埃及,511,122086,105132,6943
埃塞俄比亚,473,117242,95225,1809
洪都拉斯,283,114642,51688,2989
丹麦,0,113642,81088,950
突尼斯,0,111361,84741,3894
巴勒斯坦,0,111102,87057,1000
缅甸,0,109512,88131,2292
委内瑞拉,339,108125,103037,960
波多黎各,0,104125,45565,1238
波黑,0,101461,66486,3391
斯洛文尼亚,0,96745,73760,2107
中国,103,95167,88730,4761
立陶宛,0,95021,38957,825
巴拉圭,641,94223,67242,1971
阿尔及利亚,495,92597,60888,2609
肯尼亚,163,92055,73452,1593
利比亚,0,91357,61453,1314
巴林,125,89268,87332,348
马来西亚,0,84846,70597,419
吉尔吉斯斯坦,236,77910,70867,1316
爱尔兰,264,76449,23364,2126
乌兹别克斯坦,147,75241,72522,612
北马其顿,213,73851,50046,2147
尼日利亚,199,73374,66314,1197
新加坡,0,58325,58210,29
加纳,0,53014,51761,327
阿尔巴尼亚,661,49191,24820,1016
阿富汗,234,48952,38336,1995
韩国,880,44364,32559,600
卢森堡,1145,41900,33367,410
萨尔瓦多,0,41880,38087,1205
黑山,377,41803,31138,585
挪威,331,41334,17998,393
斯里兰卡,332,33478,24309,154
芬兰,0,31110,20000,461
澳大利亚,9,28048,25689,908
乌干达,234,27766,9921,224
拉脱维亚,0,25885,16869,352
喀麦隆,71,25214,23851,443
科特迪瓦,25,21705,21318,133
苏丹,205,21591,12452,1355
库拉索岛,0,18762,0,408
爱沙尼亚,0,18385,11121,154
赞比亚共和国,0,18274,17388,367
马达加斯加,0,17587,16992,259
塞内加尔,0,17146,16159,350
莫桑比克,48,17002,15006,143
纳米比亚,190,16726,14837,163
安哥拉,89,16277,8924,372
塞浦路斯,349,15450,2057,82
刚果（金）,52,14513,12653,356
几内亚,26,13457,12713,80
马尔代夫,11,13379,12731,48
博茨瓦纳,372,12873,10456,38
塔吉克斯坦,0,12741,12172,88
牙买加,82,11792,8098,273
佛得角,4,11361,11036,110
津巴布韦,112,11358,9554,309
马耳他,0,11254,9319,174
毛里塔尼亚,164,11135,8118,228
乌拉圭,321,10029,6593,95
法属圭亚那,0,9692,9341,65
海地,97,9588,8280,234
古巴,69,9492,8484,137
伯利兹,82,9377,4414,197
加蓬,21,9351,9204,63
叙利亚,136,9302,4432,530
瓜德罗普岛,0,8451,0,152
留尼旺,0,8345,0,41
巴哈马,0,7674,6070,163
安道尔,44,7382,6706,79
关岛,16,6969,5846,118
特立尼达和多巴哥,6,6885,6180,123
斯威士兰,57,6825,6416,130
卢旺达,88,6747,5996,56
刚果（布）,151,6200,4988,100
马拉维,4,6070,5491,187
圭亚那,23,5943,5077,156
尼加拉瓜,0,5887,4225,162
马里,22,5836,3630,201
吉布提,5,5733,5622,61
冰岛,0,5564,5392,28
马提尼克,0,5553,0,41
马约特,0,5551,0,52
苏里南,6,5359,5227,117
赤道几内亚,0,5185,5058,85
中非共和国,0,4936,1924,63
阿鲁巴,0,4791,4640,45
索马里,0,4579,3529,121
泰国,9,4246,3949,60
布基纳法索,179,4209,2940,71
冈比亚,0,3782,3647,123
多哥,15,3266,2789,66
南苏丹,0,3206,3043,62
贝宁,0,3090,2972,44
塞拉利昂,5,2445,1851,75
几内亚比绍,0,2444,2337,44
尼日尔,64,2322,1294,82
莱索托,99,2277,1340,44
新西兰,0,2096,2015,25
也门共和国,0,2087,350,607
圣马力诺,2,1934,1608,51
泽西岛,63,1842,1042,32
美属维尔京群岛,16,1807,1605,23
乍得,1,1771,1608,102
利比里亚,0,1676,1358,83
列支敦士登,52,1566,1351,20
越南,0,1402,1246,35
荷属圣马丁,0,1232,1075,26
圣多美和普林西比,1,1010,952,17
蒙古,5,917,384,0
圣马丁岛,0,838,0,12
法属波利尼西亚,0,773,528,0
布隆迪共和国,0,729,4,1
巴布亚新几内亚,0,725,601,8
厄立特里亚,0,711,564,0
摩纳哥,3,671,605,3
特克斯和凯科斯群岛,0,668,572,5
科摩罗,11,628,606,7
毛里求斯,8,523,489,10
坦桑尼亚,0,509,183,21
不丹,0,438,404,0
百慕大,40,431,238,9
马恩岛,3,373,324,25
柬埔寨,3,362,312,0
直布罗陀,0,315,273,0
开曼群岛,0,298,267,2
巴巴多斯,4,296,272,7
根西岛,1,290,275,13
圣卢西亚,3,278,240,4
塞舌尔,0,187,182,0
法罗群岛,0,184,157,0
荷兰加勒比地区,0,173,0,3
圣巴泰勒米岛,0,164,0,0
文莱,0,152,147,3
安提瓜和巴布达,0,148,138,5
北马里亚纳群岛联邦,0,113,0,2
圣文森特和格林纳丁斯,4,98,81,0
多米尼克,0,88,83,0
英属维尔京群岛,0,76,70,1
格林那达,26,69,30,0
斐济,0,46,38,2
老挝,0,41,34,0
东帝汶,0,31,30,0
梵蒂冈,0,27,15,0
圣其茨和尼维斯,0,27,21,0
新喀里多尼亚,0,26,23,0
福克兰群岛,0,19,17,0
圣皮埃尔和密克隆群岛,0,16,12,0
蒙特塞拉特,0,13,12,1
格陵兰,0,11,11,0
安圭拉,0,3,3,0
