国家,新增确诊,确诊,治愈,死亡
美国,217779,16039393,9330865,299692
印度,29398,9796769,9290834,142186
巴西,53347,6781799,6043219,179765
俄罗斯,28206,2574319,2041006,45370
法国,13732,2391643,180348,57044
英国,21056,1792611,3787,63179
意大利,16998,1787147,1027994,62626
西班牙,4595,1734386,196958,47344
阿根廷,6994,1482216,1318187,40431
哥伦比亚,7778,1399911,1296420,38484
德国,28823,1287092,949913,21064
墨西哥,11897,1217126,896130,112326
波兰,13105,1115201,815356,22174
伊朗,-,1083023,778167,51496
秘鲁,2490,979111,912501,36499
土耳其,30424,955766,452593,15751
乌克兰,13893,895620,499182,15278
南非,8166,836764,756671,22747
印度尼西亚,6310,605243,496886,18511
比利时,2754,600397,33687,17692
荷兰,110,595473,7651,9985
伊拉克,-,571253,501967,12526
捷克,5872,569205,497828,9341
智利,1662,566440,540288,15774
罗马尼亚,-,539107,434679,12948
孟加拉国,-,485965,410452,6967
菲律宾,1499,447039,409329,8709
加拿大,6066,445828,361020,13130
巴基斯坦,3047,432327,379092,8653
摩洛哥,3345,391529,345934,6492
瑞士,-,368695,288400,5824
沙特阿拉伯,141,359415,349872,6012
以色列,1389,352968,333701,2969
葡萄牙,3134,335207,259548,5278
奥地利,-,313688,269665,4163
瑞典,7935,312728,4917,7354
匈牙利,6197,271200,78700,6622
约旦,2902,253121,206638,3250
塞尔维亚,7393,249224,15913,2172
尼泊尔,-,245650,231601,1663
厄瓜多尔,1151,200379,174188,13850
巴拿马,2447,185424,157888,3287
哈萨克斯坦,973,183630,155338,2550
格鲁吉亚,4146,183099,150461,1694
阿联酋,-,181405,161741,602
保加利亚,3075,174568,75232,5405
日本,2082,174458,142850,2419
克罗地亚,-,163992,140898,2484
阿塞拜疆,-,162774,99892,1793
白俄罗斯,-,154392,132085,1238
多米尼加,1560,151721,118770,2358
哥斯达黎加,1127,149815,109855,1882
玻利维亚,325,146385,125716,9008
亚美尼亚,1077,146317,123474,2445
科威特,291,145495,141259,910
